X,I,T,V
0.235200000000001,8.08553064816802,399999990.37947,0.0262453220821893
0.235900000000001,8.11891170700102,399999990.336248,0.0263343119279271
0.236600000000001,8.15239882191148,399999990.29288,0.0264236868944591
0.237300000000001,8.18599249777441,399999990.249364,0.0265134481116329
0.238000000000001,8.2196932407145,399999990.2057,0.0266035967153186
0.238700000000001,8.25350155811446,399999990.161888,0.0266941338474212
0.239400000000002,8.28741795862345,399999990.117926,0.0267850606558922
0.240100000000002,8.32144295216548,399999990.073815,0.0268763782947417
0.240800000000002,8.35557704994781,399999990.029553,0.0269680879240511
0.241500000000002,8.38982076446938,399999989.98514,0.0270601907099852
0.242200000000002,8.42417460952924,399999989.940575,0.0271526878248047
0.242900000000002,8.458639100235,399999989.895858,0.0272455804468788
0.243600000000002,8.49321475301129,399999989.850988,0.027338869760698
0.244300000000002,8.52790208560819,399999989.805964,0.0274325569568868
0.245000000000002,8.56270161710978,399999989.760786,0.0275266432322166
0.245700000000002,8.59761386794252,399999989.715452,0.0276211297896188
0.246400000000002,8.63263935988386,399999989.669963,0.0277160178381979
0.247100000000002,8.66777861607067,399999989.624318,0.0278113085932446
0.247800000000002,8.7030321610078,399999989.578515,0.0279070032762495
0.248500000000002,8.7384005205766,399999989.532555,0.0280031031149159
0.249200000000002,8.77388422204345,399999989.486436,0.0280996093431742
0.249900000000002,8.80948379406837,399999989.440159,0.0281965232011948
0.250600000000002,8.84519976671352,399999989.393722,0.0282938459354024
0.251300000000002,8.88103267145183,399999989.347124,0.0283915787984893
0.252000000000002,8.91698304117558,399999989.300365,0.0284897230494302
0.252700000000002,8.95305141020498,399999989.253445,0.0285882799534955
0.253400000000002,8.98923831429685,399999989.206362,0.0286872507822659
0.254100000000001,9.02554429065319,399999989.159116,0.0287866368136465
0.254800000000001,9.06196987792986,399999989.111706,0.0288864393318817
0.255500000000001,9.09851561624523,399999989.064132,0.0289866596275688
0.256200000000001,9.13518204718885,399999989.016393,0.0290872989976737
0.256900000000001,9.17196971383014,399999988.968488,0.0291883587455448
0.257600000000001,9.20887916072708,399999988.920416,0.0292898401809283
0.258300000000001,9.24591093393496,399999988.872177,0.0293917446199828
0.259000000000001,9.28306558101503,399999988.82377,0.0294940733852947
0.259700000000001,9.32034365104333,399999988.775195,0.0295968278058932
0.260400000000001,9.3577456946194,399999988.72645,0.0297000092172658
0.261100000000001,9.39527226387505,399999988.677535,0.029803618961373
0.261800000000001,9.43292391248315,399999988.62845,0.0299076583866648
0.262500000000001,9.47070119566644,399999988.579193,0.0300121288480954
0.263200000000001,9.50860467020635,399999988.529764,0.0301170317071394
0.263900000000001,9.54663489445181,399999988.480162,0.0302223683318076
0.264600000000001,9.5847924283281,399999988.430386,0.0303281400966626
0.265300000000001,9.62307783334573,399999988.380437,0.0304343483828354
0.266000000000001,9.66149167260931,399999988.330312,0.0305409945780408
0.266700000000001,9.70003451082642,399999988.280011,0.0306480800765944
0.267400000000001,9.73870691431657,399999988.229535,0.0307556062794285
0.268100000000001,9.77750945102007,399999988.17888,0.0308635745941085
0.268800000000001,9.816442690507,399999988.128048,0.03097198643485
0.269500000000001,9.85550720398617,399999988.077038,0.031080843222535
0.270200000000001,9.89470356431409,399999988.025848,0.031190146384729
0.270900000000001,9.93403234600396,399999987.974478,0.0312998973556975
0.271600000000001,9.97349412523469,399999987.922927,0.0314100975764236
0.272300000000001,10.0130894798599,399999987.871194,0.0315207484946248
0.273000000000001,10.052818989417,399999987.819279,0.0316318515647702
0.273700000000001,10.0926832351362,399999987.767181,0.0317434082480978
0.274400000000001,10.1326827999497,399999987.714899,0.0318554200126325
0.275100000000001,10.1728182685006,399999987.662433,0.031967888333203
0.275800000000001,10.2130902271522,399999987.609782,0.0320808146914597
0.276500000000001,10.253499263997,399999987.556944,0.0321942005758928
0.277200000000001,10.2940459688659,399999987.503919,0.0323080474818498
0.277900000000001,10.3347309333375,399999987.450707,0.0324223569115539
0.278600000000001,10.3755547507469,399999987.397307,0.0325371303741216
0.279300000000001,10.4165180161955,399999987.343718,0.0326523693855815
0.280000000000001,10.4576213265596,399999987.289938,0.0327680754688925
0.280700000000001,10.4988652805001,399999987.235968,0.032884250153962
0.281400000000001,10.5402504784716,399999987.181807,0.0330008949776648
0.282100000000001,10.5817775227317,399999987.127453,0.0331180114838616
0.282800000000001,10.62344701735,399999987.072906,0.0332356012234179
0.283500000000001,10.6652595682181,399999987.018166,0.033353665754223
0.284200000000001,10.7072157830584,399999986.963231,0.0334722066412089
0.284900000000001,10.7493162714336,399999986.908101,0.0335912254563692
0.285600000000001,10.791561644756,399999986.852775,0.0337107237787791
0.286300000000001,10.8339525162972,399999986.797252,0.0338307031946138
0.287,10.8764895011972,399999986.741531,0.033951165297169
0.2877,10.9191732164739,399999986.685611,0.0340721116868796
0.2884,10.9620042810329,399999986.629493,0.03419354397134
0.2891,11.0049833156764,399999986.573174,0.0343154637653236
0.2898,11.0481109431132,399999986.516654,0.034437872690803
0.2905,11.091387787968,399999986.459933,0.0345607723769698
0.2912,11.1348144767911,399999986.403009,0.0346841644602551
0.2919,11.1783916380677,399999986.345882,0.0348080505843493
0.2926,11.2221199022278,399999986.288551,0.0349324324002232
0.2933,11.2659999016556,399999986.231015,0.0350573115661476
0.294,11.3100322706993,399999986.173273,0.0351826897477148
0.2947,11.3542176456807,399999986.115325,0.0353085686178589
0.2954,11.3985566649048,399999986.057169,0.0354349498568768
0.2961,11.4430499686695,399999985.998805,0.0355618351524489
0.2968,11.4876981992757,399999985.940232,0.0356892261996608
0.2975,11.5325020010363,399999985.881449,0.0358171247010239
0.2982,11.5774620202867,399999985.822455,0.0359455323664969
0.2989,11.6225789053944,399999985.76325,0.0360744509135077
0.2996,11.6678533067685,399999985.703833,0.0362038820669741
0.3003,11.71328587687,399999985.644202,0.0363338275593263
0.301,11.7588772702213,399999985.584357,0.0364642891305284
0.3017,11.8046281434162,399999985.524297,0.0365952685281001
0.3024,11.8505391551302,399999985.464021,0.0367267675071389
0.3031,11.8966109661297,399999985.403529,0.0368587878303426
0.3038,11.9428442392827,399999985.342819,0.036991331268031
